published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
1/4/2022,368,384,365,381.9,2.66,62937,23707800.2,1
1/5/2022,384,392.5,373,376,-1.54,80827,30871358.4,-1
1/6/2022,377,381.9,375,378,0.53,61095,23092370.8,1
1/9/2022,370.5,390,370.5,384.9,1.83,177321,68269254.2,1
1/10/2022,384,390,382,385,0.03,91331,35245988.9,1
1/11/2022,385,388,381,384,-0.26,87321,33627094.4,-1
1/12/2022,384.1,390,379,380,-1.04,78811,30238929.5,-1
1/13/2022,384,385,373,384,1.05,71088,26967301,1
1/16/2022,389,396,383,393,2.34,154581,60365907,1
1/17/2022,397,400,390,395,0.51,72704,28675566.5,1
1/18/2022,398,402,390,396,0.25,117028,46593499.6,1
1/19/2022,396,402,391.5,392,-1.01,81500,32270310.4,-1
1/20/2022,391,396.5,385.5,391,-0.26,61543,24003367.2,-1
1/23/2022,391,392,381,383,-2.05,75601,29164682,-1
1/24/2022,380,381,367,367,-4.18,92034,34167574.7,-1
1/25/2022,374.3,374.3,356,365,-0.54,73933,27042187.9,-1
1/26/2022,365,365,356,359,-1.64,49631,17857378.6,-1
1/27/2022,358,363,357,360.1,0.31,33397,12021955.8,1
1/30/2022,367,375,367,370,2.75,59035,21803436.4,1
1/31/2022,376,377,364,367,-0.81,34113,12570978.6,-1
2/1/2022,367,369,359.7,369,0.54,84378,30743527.6,1
2/3/2022,376,376.3,368,369,0,66693,24779701.5,0
2/6/2022,368,368,362.6,363,-1.63,53066,19327105.2,-1
2/7/2022,363.5,365,360,363.5,0.14,22657,8215089.6,1
2/8/2022,370,377.2,360,360.2,-0.91,48181,17643912.7,-1
2/9/2022,364,364,355.1,358,-0.61,47307,16905570.7,-1
2/10/2022,360,360,353,355,-0.84,50955,18091271.6,-1
2/13/2022,348,352,341,348,-1.97,80768,28050876.1,-1
2/14/2022,342,354,342,345,-0.86,59328,20558621.1,-1
2/15/2022,350,350.2,342.5,345,0,97302,33591698.2,0
2/16/2022,350,350,343,344.2,-0.23,23386,8070452.7,-1
2/17/2022,345,346,342,343,-0.35,35697,12289016.6,-1
